Organism_Name,HB,FY,Total_Specimens,CO_Specimens,HO_Specimens,FY_Pop,FY_Total_Pop_Rate,FY_HO_Pop_Rate,FY_Adm,FY_Total_Adm_Rate,FY_HO_Adm_Rate
C. difficile,Aneurin Bevan UHB,2020/21,146,97,49,598194.00002,24.41,8.19,75634,1.93,0.65
C. difficile,Betsi Cadwaladr UHB,2020/21,212,128,84,703361.0,30.14,11.94,75337,2.81,1.11
C. difficile,Cardiff and Vale UHB,2020/21,99,50,49,504497.0,19.62,9.71,48763,2.03,1.0
C. difficile,Cwm Taf Morgannwg UHB,2020/21,112,63,49,449836.00004,24.9,10.89,50482,2.22,0.97
C. difficile,Hywel Dda UHB,2020/21,138,77,61,389719.00001,35.41,15.65,38465,3.59,1.59
C. difficile,Powys THB,2020/21,7,5,2,133030.00002,5.26,1.5,1467,4.77,1.36
C. difficile,Swansea Bay UHB,2020/21,160,83,77,390948.99999,40.93,19.7,43389,3.69,1.77
C. difficile,Velindre NHST,2020/21,6,3,3,,,,1857,3.23,1.62
C. difficile,Wales,2020/21,880,506,374,3169586.00008,27.76,11.8,335394,2.62,1.12
E. coli bacteraemia,Aneurin Bevan UHB,2020/21,295,217,78,598194.00002,49.32,13.04,75634,3.9,1.03
E. coli bacteraemia,Betsi Cadwaladr UHB,2020/21,440,346,94,703361.0,62.56,13.36,75337,5.84,1.25
E. coli bacteraemia,Cardiff and Vale UHB,2020/21,280,198,82,504497.0,55.5,16.25,48763,5.74,1.68
E. coli bacteraemia,Cwm Taf Morgannwg UHB,2020/21,317,259,58,449836.00004,70.47,12.89,50482,6.28,1.15
E. coli bacteraemia,Hywel Dda UHB,2020/21,299,241,58,389719.00001,76.72,14.88,38465,7.77,1.51
E. coli bacteraemia,Powys THB,2020/21,5,1,4,133030.00002,3.76,3.01,1467,3.41,2.73
E. coli bacteraemia,Swansea Bay UHB,2020/21,241,176,65,390948.99999,61.64,16.63,43389,5.55,1.5
E. coli bacteraemia,Velindre NHST,2020/21,6,5,1,,,,1857,3.23,0.54
E. coli bacteraemia,Wales,2020/21,1883,1443,440,3169586.00008,59.41,13.88,335394,5.61,1.31
Gram negative bacteraemia,Aneurin Bevan UHB,2020/21,435,292,143,598194.00002,72.72,23.91,75634,5.75,1.89
Gram negative bacteraemia,Betsi Cadwaladr UHB,2020/21,602,452,150,703361.0,85.59,21.33,75337,7.99,1.99
Gram negative bacteraemia,Cardiff and Vale UHB,2020/21,409,255,154,504497.0,81.07,30.53,48763,8.39,3.16
Gram negative bacteraemia,Cwm Taf Morgannwg UHB,2020/21,433,328,105,449836.00004,96.26,23.34,50482,8.58,2.08
Gram negative bacteraemia,Hywel Dda UHB,2020/21,394,300,94,389719.00001,101.1,24.12,38465,10.24,2.44
Gram negative bacteraemia,Powys THB,2020/21,8,1,7,133030.00002,6.01,5.26,1467,5.45,4.77
Gram negative bacteraemia,Swansea Bay UHB,2020/21,362,241,121,390948.99999,92.6,30.95,43389,8.34,2.79
Gram negative bacteraemia,Velindre NHST,2020/21,8,6,2,,,,1857,4.31,1.08
Gram negative bacteraemia,Wales,2020/21,2651,1875,776,3169586.00008,83.64,24.48,335394,7.9,2.31
Klebsiella sp bacteraemia,Aneurin Bevan UHB,2020/21,116,59,57,598194.00002,19.39,9.53,75634,1.53,0.75
Klebsiella sp bacteraemia,Betsi Cadwaladr UHB,2020/21,129,82,47,703361.0,18.34,6.68,75337,1.71,0.62
Klebsiella sp bacteraemia,Cardiff and Vale UHB,2020/21,100,43,57,504497.0,19.82,11.3,48763,2.05,1.17
Klebsiella sp bacteraemia,Cwm Taf Morgannwg UHB,2020/21,96,54,42,449836.00004,21.34,9.34,50482,1.9,0.83
Klebsiella sp bacteraemia,Hywel Dda UHB,2020/21,73,45,28,389719.00001,18.73,7.18,38465,1.9,0.73
Klebsiella sp bacteraemia,Powys THB,2020/21,2,0,2,133030.00002,1.5,1.5,1467,1.36,1.36
Klebsiella sp bacteraemia,Swansea Bay UHB,2020/21,102,51,51,390948.99999,26.09,13.05,43389,2.35,1.18
Klebsiella sp bacteraemia,Velindre NHST,2020/21,2,1,1,,,,1857,1.08,0.54
Klebsiella sp bacteraemia,Wales,2020/21,620,335,285,3169586.00008,19.56,8.99,335394,1.85,0.85
MRSA bacteraemia,Aneurin Bevan UHB,2020/21,10,6,4,598194.00002,1.67,0.67,75634,0.13,0.05
MRSA bacteraemia,Betsi Cadwaladr UHB,2020/21,7,7,0,703361.0,1.0,0.0,75337,0.09,0.0
MRSA bacteraemia,Cardiff and Vale UHB,2020/21,11,3,8,504497.0,2.18,1.59,48763,0.23,0.16
MRSA bacteraemia,Cwm Taf Morgannwg UHB,2020/21,6,2,4,449836.00004,1.33,0.89,50482,0.12,0.08
MRSA bacteraemia,Hywel Dda UHB,2020/21,10,8,2,389719.00001,2.57,0.51,38465,0.26,0.05
MRSA bacteraemia,Powys THB,2020/21,0,0,0,133030.00002,0.0,0.0,1467,0.0,0.0
MRSA bacteraemia,Swansea Bay UHB,2020/21,3,2,1,390948.99999,0.77,0.26,43389,0.07,0.02
MRSA bacteraemia,Velindre NHST,2020/21,0,0,0,,,,1857,0.0,0.0
MRSA bacteraemia,Wales,2020/21,47,28,19,3169586.00008,1.48,0.6,335394,0.14,0.06
MSSA bacteraemia,Aneurin Bevan UHB,2020/21,147,88,59,598194.00002,24.57,9.86,75634,1.94,0.78
MSSA bacteraemia,Betsi Cadwaladr UHB,2020/21,150,109,41,703361.0,21.33,5.83,75337,1.99,0.54
MSSA bacteraemia,Cardiff and Vale UHB,2020/21,119,70,49,504497.0,23.59,9.71,48763,2.44,1.0
MSSA bacteraemia,Cwm Taf Morgannwg UHB,2020/21,110,68,42,449836.00004,24.45,9.34,50482,2.18,0.83
MSSA bacteraemia,Hywel Dda UHB,2020/21,84,61,23,389719.00001,21.55,5.9,38465,2.18,0.6
MSSA bacteraemia,Powys THB,2020/21,1,0,1,133030.00002,0.75,0.75,1467,0.68,0.68
MSSA bacteraemia,Swansea Bay UHB,2020/21,119,76,43,390948.99999,30.44,11.0,43389,2.74,0.99
MSSA bacteraemia,Velindre NHST,2020/21,2,2,0,,,,1857,1.08,0.0
MSSA bacteraemia,Wales,2020/21,732,474,258,3169586.00008,23.09,8.14,335394,2.18,0.77
P. aeruginosa bacteraemia,Aneurin Bevan UHB,2020/21,24,16,8,598194.00002,4.01,1.34,75634,0.32,0.11
P. aeruginosa bacteraemia,Betsi Cadwaladr UHB,2020/21,33,24,9,703361.0,4.69,1.28,75337,0.44,0.12
