Organism_Name,HB,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
C. difficile,Aneurin Bevan UHB,Apr,2020/21,7,4,3,49166.63014,14.24,6.1,4058,1.72,0.74
C. difficile,Aneurin Bevan UHB,May,2020/21,16,13,3,50805.51781,31.49,5.9,5148,3.11,0.58
C. difficile,Aneurin Bevan UHB,Jun,2020/21,16,12,4,49166.63014,32.54,8.14,6141,2.61,0.65
C. difficile,Aneurin Bevan UHB,Jul,2020/21,14,9,5,50805.51781,27.56,9.84,6680,2.1,0.75
C. difficile,Aneurin Bevan UHB,Aug,2020/21,17,14,3,50805.51781,33.46,5.9,6682,2.54,0.45
C. difficile,Aneurin Bevan UHB,Sep,2020/21,11,6,5,49166.63014,22.37,10.17,6934,1.59,0.72
C. difficile,Aneurin Bevan UHB,Oct,2020/21,13,7,6,50805.51781,25.59,11.81,6518,1.99,0.92
C. difficile,Aneurin Bevan UHB,Nov,2020/21,9,7,2,49166.63014,18.31,4.07,6414,1.4,0.31
C. difficile,Aneurin Bevan UHB,Dec,2020/21,12,6,6,50805.51781,23.62,11.81,6514,1.84,0.92
C. difficile,Aneurin Bevan UHB,Jan,2020/21,13,6,7,50805.51781,25.59,13.78,6291,2.07,1.11
C. difficile,Aneurin Bevan UHB,Feb,2020/21,9,6,3,45888.85479,19.61,6.54,6456,1.39,0.46
C. difficile,Aneurin Bevan UHB,Mar,2020/21,9,7,2,50805.51781,17.71,3.94,7798,1.15,0.26
C. difficile,Aneurin Bevan UHB,Apr,2021/22,10,4,6,48353.67123,20.68,12.41,7931,1.26,0.76
C. difficile,Aneurin Bevan UHB,May,2021/22,14,8,6,49965.46027,28.02,12.01,7984,1.75,0.75
C. difficile,Aneurin Bevan UHB,Jun,2021/22,31,17,14,48353.67123,64.11,28.95,8261,3.75,1.69
C. difficile,Aneurin Bevan UHB,Jul,2021/22,22,11,11,49965.46027,44.03,22.02,8316,2.65,1.32
C. difficile,Aneurin Bevan UHB,Aug,2021/22,24,15,9,49965.46027,48.03,18.01,7748,3.1,1.16
C. difficile,Aneurin Bevan UHB,Sep,2021/22,13,4,9,48353.67123,26.89,18.61,7743,1.68,1.16
C. difficile,Aneurin Bevan UHB,Oct,2021/22,13,5,8,49965.46027,26.02,16.01,7704,1.69,1.04
C. difficile,Aneurin Bevan UHB,Nov,2021/22,18,7,11,48353.67123,37.23,22.75,7784,2.31,1.41
C. difficile,Aneurin Bevan UHB,Dec,2021/22,17,6,11,49965.46027,34.02,22.02,7434,2.29,1.48
C. difficile,Aneurin Bevan UHB,Jan,2021/22,10,7,3,49965.46027,20.01,6.0,7640,1.31,0.39
C. difficile,Aneurin Bevan UHB,Feb,2021/22,16,8,8,45130.09315,35.45,17.73,7055,2.27,1.13
C. difficile,Aneurin Bevan UHB,Mar,2021/22,17,7,10,49965.46027,34.02,20.01,8155,2.08,1.23
C. difficile,Aneurin Bevan UHB,Apr,2022/23,14,7,7,48607.89041,28.8,14.4,7296,1.92,0.96
C. difficile,Aneurin Bevan UHB,May,2022/23,16,6,10,50228.15342,31.85,19.91,7824,2.04,1.28
C. difficile,Aneurin Bevan UHB,Jun,2022/23,17,12,5,48607.89041,34.97,10.29,7610,2.23,0.66
C. difficile,Aneurin Bevan UHB,Jul,2022/23,20,8,12,50228.15342,39.82,23.89,7719,2.59,1.55
C. difficile,Aneurin Bevan UHB,Aug,2022/23,24,14,10,50228.15342,47.78,19.91,7563,3.17,1.32
C. difficile,Aneurin Bevan UHB,Sep,2022/23,20,10,10,48607.89041,41.15,20.57,7554,2.65,1.32
C. difficile,Aneurin Bevan UHB,Oct,2022/23,14,7,7,50228.15342,27.87,13.94,8016,1.75,0.87
C. difficile,Aneurin Bevan UHB,Nov,2022/23,12,5,7,48607.89041,24.69,14.4,8051,1.49,0.87
C. difficile,Aneurin Bevan UHB,Dec,2022/23,13,7,6,50228.15342,25.88,11.95,8080,1.61,0.74
C. difficile,Aneurin Bevan UHB,Jan,2022/23,17,8,9,50228.15342,33.85,17.92,8222,2.07,1.09
