Organism_Name,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
C. difficile,Apr,2020/21,58,31,27,260513.91781,22.26,10.36,18966,3.06,1.42
E. coli bacteraemia,Apr,2020/21,119,96,23,260513.91781,45.68,8.83,18966,6.27,1.21
Gram negative bacteraemia,Apr,2020/21,170,124,46,260513.91781,65.26,17.66,18966,8.96,2.43
Klebsiella sp bacteraemia,Apr,2020/21,40,20,20,260513.91781,15.35,7.68,18966,2.11,1.05
MRSA bacteraemia,Apr,2020/21,4,4,0,260513.91781,1.54,0.0,18966,0.21,0.0
MSSA bacteraemia,Apr,2020/21,52,38,14,260513.91781,19.96,5.37,18966,2.74,0.74
P. aeruginosa bacteraemia,Apr,2020/21,11,8,3,260513.91781,4.22,1.15,18966,0.58,0.16
S. aureus bacteraemia,Apr,2020/21,56,42,14,260513.91781,21.5,5.37,18966,2.95,0.74
C. difficile,Apr,2021/22,75,34,41,255239.17808,29.38,16.06,33768,2.22,1.21
E. coli bacteraemia,Apr,2021/22,203,154,49,255239.17808,79.53,19.2,33768,6.01,1.45
Gram negative bacteraemia,Apr,2021/22,262,187,75,255239.17808,102.65,29.38,33768,7.76,2.22
Klebsiella sp bacteraemia,Apr,2021/22,38,21,17,255239.17808,14.89,6.66,33768,1.13,0.5
MRSA bacteraemia,Apr,2021/22,3,2,1,255239.17808,1.18,0.39,33768,0.09,0.03
MSSA bacteraemia,Apr,2021/22,66,49,17,255239.17808,25.86,6.66,33768,1.95,0.5
P. aeruginosa bacteraemia,Apr,2021/22,21,12,9,255239.17808,8.23,3.53,33768,0.62,0.27
S. aureus bacteraemia,Apr,2021/22,69,51,18,255239.17808,27.03,7.05,33768,2.04,0.53
C. difficile,Apr,2022/23,85,42,43,257395.06849,33.02,16.71,31480,2.7,1.37
E. coli bacteraemia,Apr,2022/23,186,143,43,257395.06849,72.26,16.71,31480,5.91,1.37
Gram negative bacteraemia,Apr,2022/23,237,172,65,257395.06849,92.08,25.25,31480,7.53,2.06
Klebsiella sp bacteraemia,Apr,2022/23,40,23,17,257395.06849,15.54,6.6,31480,1.27,0.54
MRSA bacteraemia,Apr,2022/23,3,2,1,257395.06849,1.17,0.39,31480,0.1,0.03
MSSA bacteraemia,Apr,2022/23,71,53,18,257395.06849,27.58,6.99,31480,2.26,0.57
P. aeruginosa bacteraemia,Apr,2022/23,11,6,5,257395.06849,4.27,1.94,31480,0.35,0.16
S. aureus bacteraemia,Apr,2022/23,74,55,19,257395.06849,28.75,7.38,31480,2.35,0.6
C. difficile,Apr,2023/24,86,52,34,260087.99999,33.07,13.07,33906,2.54,1.0
E. coli bacteraemia,Apr,2023/24,181,121,60,260087.99999,69.59,23.07,33906,5.34,1.77
Gram negative bacteraemia,Apr,2023/24,254,165,89,260087.99999,97.66,34.22,33906,7.49,2.62
Klebsiella sp bacteraemia,Apr,2023/24,62,36,26,260087.99999,23.84,10.0,33906,1.83,0.77
MRSA bacteraemia,Apr,2023/24,1,1,0,260087.99999,0.38,0.0,33906,0.03,0.0
MSSA bacteraemia,Apr,2023/24,61,46,15,260087.99999,23.45,5.77,33906,1.8,0.44
P. aeruginosa bacteraemia,Apr,2023/24,11,8,3,260087.99999,4.23,1.15,33906,0.32,0.09
S. aureus bacteraemia,Apr,2023/24,62,47,15,260087.99999,23.84,5.77,33906,1.83,0.44
C. difficile,Apr,2024/25,124,61,63,259377.37705,47.81,24.29,38810,3.2,1.62
E. coli bacteraemia,Apr,2024/25,179,131,48,259377.37705,69.01,18.51,38810,4.61,1.24
Gram negative bacteraemia,Apr,2024/25,248,186,62,259377.37705,95.61,23.9,38810,6.39,1.6
